Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,How soon after you wake up do you smoke your first cigarette?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,Cluster,PCA1,PCA2
0,1,2,0,7,3,1.6967493278768648,-1.1996011760590017
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,1,3,0,7,3,2.3433574820747225,-1.1657716087062424
0,0,1,0,16,2,-1.2477715893221126,-2.7890283179348607
0,1,2,2,9,3,1.0821722001401224,0.32153832208522887
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,1,2,0,8,3,1.5909909700629776,-1.3636226754811525
0,1,2,0,8,3,1.5909909700629776,-1.3636226754811525
0,1,3,1,7,3,2.1418272760202384,-0.24118036021197603
0,1,3,1,8,3,2.036068918206351,-0.4052018596341269
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,1,3,1,8,3,2.036068918206351,-0.4052018596341269
0,0,2,0,9,2,0.13914506957295514,-1.607048254627045
0,0,1,0,9,2,-0.5074630846249026,-1.6408778219798046
0,1,2,2,8,3,1.1879305579540096,0.48555982150737975
0,1,3,1,9,3,1.9303105603924642,-0.5692233590562777
0,0,1,2,10,1,-1.0162818545477579,0.04428317558657692
0,0,1,2,10,1,-1.0162818545477579,0.04428317558657692
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,1,3,1,7,3,2.1418272760202384,-0.24118036021197603
0,0,2,0,8,2,0.2449034273868423,-1.443026755204894
0,1,3,1,6,3,2.2475856338341256,-0.07715886078982516
0,1,2,0,8,3,1.5909909700629776,-1.3636226754811525
0,0,1,1,8,2,-0.6032349328654996,-0.5522650740633875
0,1,3,1,8,3,2.036068918206351,-0.4052018596341269
0,1,3,3,5,3,1.9502835795390447,1.9360451356208581
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,1,2,1,8,3,1.3894607640084935,-0.4390314269868864
0,1,2,0,7,3,1.6967493278768648,-1.1996011760590017
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,0,1,0,9,2,-0.5074630846249026,-1.6408778219798046
0,1,1,2,7,0,0.6470807615700389,0.6157517535767711
0,0,1,2,10,1,-1.0162818545477579,0.04428317558657692
0,0,1,1,0,2,0.2428319296455978,0.7599069213138196
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,0,2,10,1,-1.6628900087456155,0.01045360823381737
0,1,0,1,10,0,-0.11527226001499621,-0.8347335605367071
0,1,3,1,6,3,2.2475856338341256,-0.07715886078982516
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,1,0,1,8,0,0.09624445561277808,-0.5066905616924053
0,1,1,3,9,0,0.23403383988778065,1.2123000032267357
0,1,0,0,10,0,0.08625794603948786,-1.7593248090309734
0,1,1,3,6,0,0.5513089133294421,1.7043645014931883
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,1,0,3,8,0,-0.30681595649619003,1.342491935296127
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,1,3,3,0,0.8685839867711035,2.196428999759641
0,1,2,1,2,3,2.0240109108918163,0.545097569546019
0,1,3,1,6,3,2.2475856338341256,-0.07715886078982516
0,1,1,0,9,0,0.8386244580512328,-1.561473742256063
0,1,2,3,8,0,0.9864003518995254,1.410151070001646
0,0,1,2,5,1,-0.48749006547832213,0.8643906726973314
0,0,1,1,6,2,-0.39171821723772515,-0.22422207521908577
0,1,2,1,2,3,2.0240109108918163,0.545097569546019
0,1,0,0,3,0,0.8265664507366979,-0.6111743130759172
0,1,1,3,5,0,0.6570672711433292,1.8683860009153392
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,1,1,5,2,-0.285959859423838,-0.06020057579693487
0,0,0,2,17,1,-2.403198513442826,-1.137696887721239
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,0,0,2,12,1,-1.87440672437339,-0.31758939061048447
0,1,3,1,2,3,2.670619065089674,0.5789271368987785
0,1,2,3,6,0,1.1979170675272999,1.7381940688459476
0,0,0,2,8,1,-1.4513732931178414,0.3384966070781191
0,1,0,0,7,0,0.40353301948114934,-1.2672603107645208
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,0,2,11,1,-1.7686483665595027,-0.1535678911883336
0,1,2,2,5,3,1.5052056313956712,0.9776243197738325
